daysToExp,mean,std
0,0.0003259668093130815,0.010218589036969336
1,0.001356945653894175,0.016143049901725205
2,0.0023607740253603067,0.019134089770002517
3,0.003380433999186925,0.022783811710596073
4,0.004394165111437746,0.02548631326889652
5,0.005408315451474298,0.027953041471012574
6,0.006424312873158161,0.030029767249854584
7,0.007441452768590334,0.03220344647431522
8,0.008447966276670079,0.03413320765276241
9,0.009445192695134445,0.03570858450880149
10,0.010459399935141993,0.03763892791942462
11,0.011455881054718772,0.039059939687868035
12,0.012466287616806394,0.04073217672998388
13,0.013481790795611858,0.042312044647974265
14,0.014477881023176712,0.0437296729285412
15,0.01546359444130705,0.04505327716599096
16,0.01644590145126566,0.04633731603312702
17,0.017445002882348952,0.047748972295776175
18,0.018452097509166966,0.049162458997298875
19,0.019464551158924377,0.05050287815835437
20,0.02047319515981542,0.05177276895934963
21,0.0214944291525818,0.05309418419687323
22,0.022511930436802347,0.05419209989513148
23,0.023538170073467757,0.05527963898030202
24,0.02455313136681769,0.05619852972958984
25,0.02557747674371861,0.05712632501504183
26,0.026590181891024352,0.05797550278063087
27,0.027592419329564792,0.05859528171748632
28,0.028600522919628828,0.059314409368573455
29,0.02960886886046501,0.06005778196880647
30,0.030606428952884363,0.060839542546564984
31,0.031612584913200355,0.06164328469175353
32,0.03263065559069545,0.062457974929547314
33,0.033661966921402935,0.06330563678689807
34,0.034695952843141586,0.06407780526465447
35,0.03572201070107244,0.0646983009663733
36,0.03675261736076298,0.0654202347525646
37,0.037787943200474614,0.0661834458717111
38,0.03882487046272428,0.06689507802053378
39,0.03987155719806486,0.06770412189905584
40,0.04091823192460769,0.06850077841568
41,0.0419657953519534,0.06930843144008014
42,0.0430150797819772,0.07008317216179422
43,0.04407585435919311,0.07090168905709965
44,0.045136910514530046,0.07166798325870555
45,0.046196269720332306,0.07240856996342097
46,0.04724111079410248,0.07312301687993328
47,0.04829566499065141,0.07374611035427409
48,0.049338699101838364,0.07436708077654118
49,0.05038627725570548,0.07505427795817639
50,0.05142522727040724,0.07583565137151305
51,0.05246402979752211,0.07655698443061103
52,0.05350891998488129,0.07733439603398405
53,0.054543114903907945,0.07803687752117827
54,0.0555829174054876,0.0787715695505593
55,0.05661923387989736,0.07947377999758531
56,0.05765281225303415,0.08000030590318317
57,0.05869880921474911,0.08057289975260899
58,0.05973597794853023,0.08108437246324929
59,0.06077234183251209,0.08159311897292942
60,0.061803854443510116,0.08217412349837244
61,0.06283975820757091,0.08284304507134664
62,0.06388330801907063,0.08358307694375797
63,0.0649114563638308,0.08423927186357322
64,0.06594894152170838,0.08497363183251438
65,0.0669596092976587,0.08557438749855754
66,0.06797505341516746,0.0861490008510848
67,0.06898909641441567,0.08665562209511948
68,0.07001078790435132,0.08727145870648934
69,0.07102344760253002,0.08788630916552162
70,0.07202952239824711,0.0884812903701907
71,0.07304750712681513,0.08909534195443075
72,0.07407050030654747,0.08963819714280911
73,0.07510018077395653,0.09029708236281543
74,0.07612128307602702,0.09087637548647433
75,0.07715392514685913,0.09146525053632065
76,0.0781852363446123,0.09194875830939994
77,0.07920743341795673,0.0923124143578941
78,0.08023066477645904,0.09272289067814651
79,0.08123432573343402,0.0931779925002347
80,0.08220319592507963,0.09348114478077807
81,0.08318673167120923,0.09373239864961078
82,0.08417205980866761,0.09404817896621824
83,0.08515216497145282,0.0943299849036363
84,0.08612341871848653,0.0946091494531271
85,0.08709735807004734,0.09485790774966082
86,0.08806511787390661,0.09504960138357411
87,0.08907816389183226,0.09527618400726032
88,0.09010316295994862,0.09554993814455519
89,0.09111891978041023,0.09591204547583532
90,0.09213965079210047,0.09617793237136865
